id,igdb_id,original_id,name,slug
110421,76608,NULL,"Trailer Park Boys: Grea$y Money",trailer-park-boys-grea$y-money
110422,123570,NULL,"The Bonfire 2: Uncharted Shores",the-bonfire-2-uncharted-shores
110423,41882,NULL,"Uncharted 2: Among Thieves - Collector's Edition",uncharted-2-among-thieves-collectors-edition
110424,41883,NULL,"Uncharted 2: Among Thieves Fortune Hunter Edition",uncharted-2-among-thieves-fortune-hunter-edit
110425,65609,NULL,"Uncharted 2: Among Thieves - Game of The Year Edition",uncharted-2-among-thieves-game-of-the-year-ed
110426,14441,NULL,"Uncharted Waters 2",uncharted-waters-2
110427,70514,NULL,"Phantasy Star II Text Adventures",phantasy-star-ii-text-adventures
110428,14425,NULL,"Phantasie IV: Birth of Heroes",phantasie-iv-birth-of-heroes
110429,2890,NULL,Phantasie,phantasie
110430,14424,NULL,"Phantasie II",phantasie-ii
110431,45252,NULL,"Phantasy Star Gaiden",phantasy-star-gaiden
110432,21968,NULL,"Phantasy Star Online",phantasy-star-online
110433,21873,NULL,"Phantasy Star Portable",phantasy-star-portable
110434,109596,NULL,"SEGA AGES Phantasy Star",sega-ages-phantasy-star
110435,106103,NULL,"Idola Phantasy Star Saga",idola-phantasy-star-saga
110436,45253,NULL,"Phantasy Star Adventure",phantasy-star-adventure
110437,69330,NULL,"Phantasy Star Zero Mini",phantasy-star-zero-mini
110438,131702,NULL,"Phantasy Star Online 2 es",phantasy-star-online-2-es
110439,45812,NULL,"Phantasy Star Online Ver. 2",phantasy-star-online-ver-2
110440,51302,NULL,"Phantasy Star Online: Blue Burst",phantasy-star-online-blue-burst
110441,94990,NULL,"Phantasy Star Online Version 2",phantasy-star-online-version-2
110442,79771,NULL,"Phantasy Star Portable 2 Infinity",phantasy-star-portable-2-infinity
110443,2411,NULL,"Ys: The Vanished Omens",ys-the-vanished-omens
110444,15452,NULL,"Ys IV: The Dawn of Ys",ys-iv-the-dawn-of-ys
110445,41631,NULL,"Ys: Wanderers from Ys",ys-wanderers-from-ys
110446,45593,NULL,"Ys 3: Wanderers From Ys",ys-3-wanderers-from-ys
110447,15449,NULL,"Ys II: Ancient Ys Vanished – The Final Chapter",ys-ii-ancient-ys-vanished-the-final-chapter
110448,70166,NULL,"Ys: Book I & II",ys-book-i-and-ii
110449,111847,NULL,"Ys Altago",ys-altago
110450,90549,NULL,"Ys II",ys-ii
110451,113431,NULL,"Ys IX: Monstrum Nox",ys-ix-monstrum-nox
110452,15454,NULL,"Ys: The Ark of Napishtim",ys-the-ark-of-napishtim
110453,112195,NULL,"Ys DS",ys-ds
110454,70333,NULL,"Ys V: Ushinawareta Suna no Miyako Kefin",ys-v-ushinawareta-suna-no-miyako-kefin
110455,112196,NULL,"Ys II DS",ys-ii-ds
110456,124503,NULL,"Ys Eternal",ys-eternal
110457,124502,NULL,"Ys II Eternal",ys-ii-eternal
110458,124501,NULL,"Ys I Complete",ys-i-complete
110459,124500,NULL,"Ys II Complete",ys-ii-complete
110460,96317,NULL,"Ys Chronicles 1",ys-chronicles-1
110461,80682,NULL,"Ys I & II: Complete",ys-i-and-ii-complete
110462,96318,NULL,"Ys Chronicles II",ys-chronicles-ii
110463,21020,NULL,"Ys I & II Chronicles",ys-i-and-ii-chronicles
110464,50309,NULL,"YS Flight Simulator",ys-flight-simulator
110465,124499,NULL,"Ys I & II: Eternal Story",ys-i-and-ii-eternal-story
110466,117495,NULL,"Ys: Memories of Celceta",ys-memories-of-celceta--1
110467,42691,NULL,"Ys Seven Premium Edition",ys-seven-premium-edition
110468,15458,NULL,"Ys Online: The Call of Solum",ys-online-the-call-of-solum
110469,132155,NULL,"Phantasy Star Online 2 -Ragol Edition-",phantasy-star-online-2-ragol-edition
110470,79149,NULL,"Phantasy Star Online Episode I & II Plus",phantasy-star-online-episode-i-and-ii-plus
110471,79471,NULL,"SEGA AGES 2500 Vol.17: Phantasy Star - Generation:2",sega-ages-2500-vol-dot-17-phantasy-star-gener
110472,132156,NULL,"Phantasy Star Online 2 -SONIC Collaboration Edition-",phantasy-star-online-2-sonic-collaboration-ed
110473,23329,NULL,"Phantasy Star Online Episode III: C.A.R.D. Revolution",phantasy-star-online-episode-iii-card-revolut
110474,5562,NULL,"Phantasie 3: The Wrath of Nikademus",phantasie-3-the-wrath-of-nikademus
110475,21501,NULL,"Phantasy Star Universe: Ambition of the Illuminus",phantasy-star-universe-ambition-of-the-illumi
110476,102569,NULL,"Phantasy Star Universe: Ambition of the Illuminous",phantasy-star-universe-ambition-of-the-illumi
110477,43454,NULL,"Sega Ages 2500 Series Vol. 1: Phantasy Star Generation 1",sega-ages-2500-series-vol-1-phantasy-star-gen
110478,129891,NULL,"Sega Ages 2500 Series Vol. 17: Phantasy Star Generation: 2",sega-ages-2500-series-vol-17-phantasy-star-ge
110479,69267,NULL,"SEGA AGES 2500 Vol.32: Phantasy Star Complete Collection",sega-ages-2500-vol-dot-32-phantasy-star-compl
110480,112964,NULL,chrono,chrono
110481,14180,NULL,"Chrono Quest II",chrono-quest-ii
110482,13492,NULL,Chronos,chronos
110483,126745,NULL,"Chrono Ark",chrono-ark
110484,60604,NULL,"Chrono Wars",chrono-wars
110485,86109,NULL,"Chrono Clock",chrono-clock
110486,101059,NULL,"Tokyo Chronos",tokyo-chronos
110487,86003,NULL,"Chronos Twins",chronos-twins--2
110488,20398,NULL,"Chrono Trigger",chrono-trigger--1
110489,63261,NULL,"Chronos Materia",chronos-materia
110490,132284,NULL,"Hit Zero: Chronos",hit-zero-chronos
110491,89828,NULL,"Chrono Trigger",chrono-trigger--2
110492,114911,NULL,"CHRONO CLASH: Fantasy Tactics",chrono-clash-fantasy-tactics
110493,40472,NULL,"Toki No Senshi: Chrono Soldier",toki-no-senshi-chrono-soldier
110494,38270,NULL,"Chrono Trigger: Crimson Echoes",chrono-trigger-crimson-echoes--1
110495,69554,NULL,"Chronos: A Tapestry of Time",chronos-a-tapestry-of-time
110496,79448,NULL,"Chrono Trigger: Music Library",chrono-trigger-music-library
110497,62740,NULL,"Inazuma Eleven GO Chrono Stones",inazuma-eleven-go-chrono-stones
110498,79447,NULL,"Chrono Trigger: Character Library",chrono-trigger-character-library
110499,42332,NULL,"Chrono Trigger: Flames of Eternity",chrono-trigger-flames-of-eternity
110500,65026,NULL,"Blood: The Last Vampire - Last Volume",blood-the-last-vampire-last-volume
110501,61586,NULL,"The Last Stand: Union City",the-last-stand-union-city--1
110502,53815,NULL,"Total War: Attila - The Last Roman Campaign Pack",total-war-attila-the-last-roman-campaign-pack
110503,37211,NULL,"Last Duel",last-duel
110504,132725,NULL,"SM64: Last Impact",sm64-last-impact
110505,77719,NULL,"Last Santa Standing",last-santa-standing
110506,44922,NULL,"Torneko: The Last Hope",torneko-the-last-hope
110507,109282,NULL,"The Last Remnant Remastered",the-last-remnant-remastered
110508,77168,NULL,"Last Day of FEAR",last-day-of-fear
110509,119551,NULL,"Last Day of Rome",last-day-of-rome
110510,114422,NULL,"Last Oasis",last-oasis
110511,123283,NULL,"Last Origin",last-origin
110512,124392,NULL,"last day of spring",last-day-of-spring
110513,89606,NULL,"Last Fort",last-fort
110514,128088,NULL,"Last Week",last-week--1
110515,81780,NULL,"Last Hope",last-hope--1
110516,125631,NULL,"Last Stop",last-stop
110517,125800,NULL,"Last Rose",last-rose
110518,125999,NULL,"Last Meal",last-meal
110519,104562,NULL,"Last Wood",last-wood
110520,101462,NULL,"The Last of Us Ellie Edition",the-last-of-us-ellie-edition
110521,102081,NULL,"The Last of Us Joel Edition",the-last-of-us-joel-edition
110522,102082,NULL,"The Last of Us Survival Edition",the-last-of-us-survival-edition
110523,102083,NULL,"The Last of Us Post-Pandemic Edition",the-last-of-us-post-pandemic-edition
110524,89931,NULL,"The Last of Us Remastered Day 1 Edition",the-last-of-us-remastered-day-1-edition
110525,133091,NULL,"Warzone 2100",warzone-2100--1
110526,13074,NULL,"MicroProse Formula One Grand Prix",microprose-formula-one-grand-prix
110527,22060,NULL,"Grand Prix 4",grand-prix-4
110528,69168,NULL,"Wallace & Gromit's Grand Adventures: Episode 3 - Muzzled!",wallace-and-gromits-grand-adventures-episode-
110529,69160,NULL,"Wallace & Gromit's Grand Adventures: Episode 4 - The Bogey Man",wallace-and-gromits-grand-adventures-episode-
110530,115575,NULL,"Wallace & Gromit's Grand Adventures: Episode 1 - Fright of the Bumblebees",wallace-and-gromits-grand-adventures-episode-
110531,89908,NULL,"Grand Kingdom: Grand Edition",grand-kingdom-grand-edition
110532,76257,NULL,"Diabolik Lovers: Grand Edition",diabolik-lovers-grand-edition
110533,21050,NULL,"Everybody's Golf Portable 2",everybodys-golf-portable-2
110534,22453,NULL,"Everybody's Golf Portable",everybodys-golf-portable
110535,36558,NULL,"Everybody's Golf 2",everybodys-golf-2
110536,36584,NULL,"Everybody's Golf 4",everybodys-golf-4
110537,83365,NULL,"3D Golf",3d-golf
110538,18008,NULL,Golf,golf--1
110539,18101,NULL,"Jack Nicklaus' Greatest 18 Holes of Major Championship Golf",jack-nicklaus-greatest-18-holes-of-major-cham
110540,78687,NULL,"Outlaw Golf: Holiday Golf",outlaw-golf-holiday-golf
110541,60885,NULL,"Go Go Golf",go-go-golf
110542,104695,NULL,"Mini Golf Star Retro Golf Game",mini-golf-star-retro-golf-game
110543,71773,NULL,"Golf's Best: St. Andrews - The Home of Golf",golfs-best-st-andrews-the-home-of-golf
110544,103127,NULL,"Mini Golf 2016 Pro: Real golf simulation 3D by BULKY SPORTS",mini-golf-2016-pro-real-golf-simulation-3d-by
110545,59174,NULL,"Cafe Junkie",cafe-junkie
110546,37080,NULL,"Space Junkies",space-junkies
110547,104172,NULL,"Highway Junkie",highway-junkie
110548,65213,NULL,"Sprocket Junkie",sprocket-junkie
110549,115680,NULL,"Laser Stallion Disco Junkie: One Hit",laser-stallion-disco-junkie-one-hit
110550,107547,NULL,"Golf Rival",golf-rival
110551,106982,NULL,"Vista Golf Rivals",vista-golf-rivals
110552,23459,NULL,"Everybody's Golf 3",everybodys-golf-3
110553,57050,NULL,"Mr. Golf",mr-golf
110554,40540,NULL,"VS. Golf",vs-golf
110555,24486,NULL,golf,golf--3
110556,131432,NULL,Golf,golf--4
110557,131528,NULL,Golf,golf--6
110558,91128,NULL,"The Golf Club 2019 featuring PGA TOUR",the-golf-club-2019-featuring-pga-tour
110559,20807,NULL,"VR Golf '97",vr-golf-97
110560,54691,NULL,"Sunday Golf",sunday-golf
110561,4192,NULL,"Swingerz Golf",swingerz-golf
110562,41548,NULL,"Computer Golf",computer-golf
110563,47667,NULL,"Let's Golf 3D",lets-golf-3d
110564,18415,NULL,"Miniature Golf",miniature-golf
110565,88347,NULL,"GL Golf",gl-golf
110566,96348,NULL,"GOLFY GOLF",golfy-golf
110567,80386,NULL,"Real World Golf",real-world-golf
